|Unnamed: 0|Name|Deutscher Name|UUID des Taxons|UUID des direkt übergeordneten Taxons|Synonyme|Konzeptbeziehungen|Jahrzehnt|Auswertung|Taxa|Arten|Oberste Taxa|Status|Neobiota|Aktuelle Bestandssituation|kurzfristiger Bestandstrend|Langfristiger Bestandstrend|Sonderfälle|Letzter Nachweis|RL Kat.|Risikofaktoren|Risikofaktoren (Kürzel 1)|Risikofaktoren (Kürzel 2)|Risikofaktoren (Kürzel 3)|Taxonomischer Bezug|alte RL- Kat.|Kat. +/-|Grund der Kategorieänderung 1|Grund der Kategorieänderung 2|Grund der Kategorieänderung 3|Kommentar zur Taxonomie|Kommentar zur Gefährdung|Kommentar zur Nachsuche|Weitere Kommentare|Anteil|Lage|Gefährdung|Verantwortlichkeit|Endemit|Kommentar zur Verantwortlichkeit
0|0|Abies alba Mill.|Weiß-Tanne|59741e11-77a7-4e09-bf48-2f0440183304|||≙Abies alba Mill.||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||≙|3|+|R|||||||A1|Lr|G+|||
1|1|Abutilon theophrasti Medik.|Samtpappel|05780297-dc66-4148-a93c-6e9137959ac4|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
2|2|Acer campestre L.|Feld-Ahorn|10ada6fb-fd6d-495f-a0e3-dbc7d3683dc5|||≙Acer campestre L.||S|Taxa|Arten|Oberste Taxa|I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lh|G+|||
3|3|Acer monspessulanum L.|Französischer Ahorn|b83cffdf-99ea-429a-aac4-6f2ea9f8b640|||≙Acer monspessulanum L.||M||Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
4|4|Acer monspessulanum subsp. monspessulanum|Französischer Ahorn|eef98938-02df-4c56-b42b-4de9b551f43a|b83cffdf-99ea-429a-aac4-6f2ea9f8b640|Acer monspessulanum|≙Acer monspessulanum||I|Taxa|||I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
5|5|Acer negundo L.|Eschen-Ahorn|4ab3307e-5233-449f-bd2b-600636ab82ab|||≙Acer negundo L.||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb|||||≙|*||||||||Die Art wird als invasiv eingestuft (Nehring et al. 2013).||||nb||
6|6|Acer opalus Mill.|Schweizer Ahorn|9995d04a-d408-4719-98bd-a15c78c39cab|||≙Acer opalus Mill.||S|Taxa|Arten|Oberste Taxa|I||Extrem selten|=|Gleich bleibend|||R|=||||≙|R|=||||||||A0|Lr|G+|||
7|7|Acer platanoides L.|Spitz-Ahorn|56681afc-1d21-45f8-bfe3-32c94b5f63a5|||≙Acer platanoides L.||S|Taxa|Arten|Oberste Taxa|I||Sehr häufig|^|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lh|G+|||
8|8|Acer pseudoplatanus L.|Berg-Ahorn|6e4b4a58-285b-4b28-952e-5cc2a0697bf8|||≙Acer pseudoplatanus L.||S|Taxa|Arten|Oberste Taxa|I||Sehr häufig|^|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lz|G+|!||
9|9|Achillea atrata L.|Schwarzrandige Schafgarbe|677cc802-1c02-413a-9e33-388b3f36b4da|||≙Achillea atrata L.||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
10|10|Achillea clavenae L.|Bittere Schafgarbe|2bd5aea7-a7b6-4e88-88c0-3e2b4fbd7061||Achillea clavennae|≙Achillea clavennae||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
11|11|Achillea crithmifolia Waldst. & Kit.|Meerfenchelblättrige Schafgarbe|19ff122d-814a-46e7-825d-d33a1fdb9d9a|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
12|12|Achillea macrophylla L.|Großblättrige Schafgarbe|f2bea21a-1137-4508-8144-ba9301fb66bb|||≙Achillea macrophylla L.||S|Taxa|Arten|Oberste Taxa|I||Extrem selten|=|Gleich bleibend|||R|=||||≙|*|-|K|||||||A0|Lr|G+|||
13|13|Achillea millefolium agg.|Gewöhnliche Schafgarbe (Artengruppe)|741d602f-46b9-4800-972b-3cfd7ee0cfce|||≙Achillea millefolium agg.||A|||Oberste Taxa|I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|nb||||||||||||nb||
14|14|Achillea collina (Wirtg.) Heimerl|Hügel-Schafgarbe|212a4f38-c212-4fbb-ac46-abbe8188f43e|741d602f-46b9-4800-972b-3cfd7ee0cfce||≙Achillea collina (Wirtg.) Heimerl||K|Taxa|Arten||I||Unbekannt|?|Daten ungenügend|||D|=||||≙|*| ||||||||A0|Lr|G+|||
15|15|Achillea millefolium L.|Gewöhnliche Schafgarbe|6eb456d3-c60f-4253-afae-f4f95df3b2ab|741d602f-46b9-4800-972b-3cfd7ee0cfce||≙Achillea millefolium L.||T||Arten||I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|*|=|||||||In nicht regionalisierten Ansaatmischungen enthalten.|A0|Lh|G+|||
16|16|Achillea millefolium subsp. millefolium|Gewöhnliche Schafgarbe|106ee2f5-a412-4671-87f3-b8c3386a1855|6eb456d3-c60f-4253-afae-f4f95df3b2ab||≙Achillea millefolium subsp. millefolium||F|Taxa|||I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
17|17|Achillea millefolium subsp. sudetica (Opiz) Oborny|Gebirgs-Wiesen-Schafgarbe|aaaa2ab1-986d-45cd-94ac-3f3c7837ea11|6eb456d3-c60f-4253-afae-f4f95df3b2ab||≙Achillea millefolium subsp. sudetica (Opiz) Oborny||F|Taxa|||I||Unbekannt|?|Daten ungenügend|||D|=||||≙|*| ||||||||A0|Lr|G+|||
18|18|Achillea pannonica Scheele|Ungarische Schafgarbe|9bd249de-2b36-4843-969e-768015f37ed6|741d602f-46b9-4800-972b-3cfd7ee0cfce||≙Achillea pannonica Scheele||K|Taxa|Arten||I||Selten|(v)|Gleich bleibend|||V|=||||≙|*|-|R||||Lokal stärker gefährdet.|||A0|Lr|G+|||
19|19|Achillea pratensis Saukel & R. Länger|Wiesen-Schafgarbe|ef614ec6-ba4c-4860-beb4-6d22f238308c|741d602f-46b9-4800-972b-3cfd7ee0cfce||||K|Taxa|Arten||I||Mäßig häufig|=|Gleich bleibend|||*|=|||||kN|||||||||A0|Lh|G+|||
20|20|Achillea roseoalba Ehrend.|Blassrote Schafgarbe|35c0c8ac-89d4-4ac3-b2ed-6b929afea423|741d602f-46b9-4800-972b-3cfd7ee0cfce||≙Achillea roseoalba Ehrend.||K|Taxa|Arten||I||Extrem selten|=|Rückgang, Ausmaß unbekannt|||2|=||||≙|*|-|K|||||||A0|Lr|G+|||
21|21|Achillea setacea Waldst. & Kit.|Feinblättrige Schafgarbe|5492286d-311e-415d-9d2d-96d89da59357|741d602f-46b9-4800-972b-3cfd7ee0cfce||≙Achillea setacea Waldst. & Kit.||K|Taxa|Arten||I||Sehr selten|=|Mäßiger Rückgang|||3|=||||≙|3|=||||||||A0|Lr|G+|||
22|22|Achillea nobilis L.|Edle Schafgarbe|71f1f8e1-b35d-4c8b-bece-954bdccb1c88|||≙Achillea nobilis L.||M||Arten|Oberste Taxa|I||Selten|=|Mäßiger Rückgang|||V|=||||≙|*|-|K|||||||A0|Lr|G+|||
23|23|Achillea nobilis subsp. nobilis|Edle Schafgarbe|fa962fda-1dee-4f16-aae5-857f9fa10d5c|71f1f8e1-b35d-4c8b-bece-954bdccb1c88|Achillea nobilis|≙Achillea nobilis||I|Taxa|||I||Selten|=|Mäßiger Rückgang|||V|=||||≙|*|-|K|||||||A0|Lh|G+|||
24|24|Achillea ptarmica agg.|Sumpf-Schafgarbe (Artengruppe)|d288eba8-0476-49d3-a1a3-9f1119eee34a|||≙Achillea ptarmica agg.||A|||Oberste Taxa|I||Häufig|(v)|Mäßiger Rückgang|||*|=||||≙|nb||||||||||||nb||
25|25|Achillea ptarmica L.|Sumpf-Schafgarbe|e241f26d-06e1-4e0f-882d-0cca8be31954|d288eba8-0476-49d3-a1a3-9f1119eee34a||≙Achillea ptarmica L.||K|Taxa|Arten||I||Häufig|(v)|Mäßiger Rückgang|||*|=||||≙|V|+|K|R|||In einigen Bundesländern stärkerer Rückgang.|||A0|Lh|G+|||
26|26|Achillea salicifolia Besser|Weidenblatt-Schafgarbe|c9862e3c-1d0a-45c6-bcbb-8f77457c1ff2|d288eba8-0476-49d3-a1a3-9f1119eee34a|Achillea cartilaginea|≙Achillea cartilaginea||K|Taxa|Arten||I||Sehr selten|^|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
27|27|Achnatherum calamagrostis (L.) P. Beauv.|Silber-Raugras|80594a9e-d5c8-4ccb-93c1-b2fabc43b74f|||≙Achnatherum calamagrostis (L.) P. Beauv.||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lr-h|G+|||
28|28|Acinos alpinus (L.) Moench|Alpen-Steinquendel|baa64e34-4c29-460a-8a90-2f1eefeb30c5|||≙Acinos alpinus (L.) Moench||M||Arten|Oberste Taxa|I||Selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
29|29|Acinos alpinus subsp. alpinus|Alpen-Steinquendel|f87246b4-77aa-43d5-82f8-f227d9df15bf|baa64e34-4c29-460a-8a90-2f1eefeb30c5|Acinos alpinus|≙Acinos alpinus||I|Taxa|||I||Selten|=|Gleich bleibend|||*|=||||≙|*|=|||||Die dealpinen Vorkommen sind überwiegend erloschen.|||A0|Lh|G+|||
30|30|Acinos arvensis (Lam.) Dandy|Gewöhnlicher Steinquendel|10d05dd0-24c0-4fb8-9f9a-39aa4d33674f|||≙Acinos arvensis (Lam.) Dandy||S|Taxa|Arten|Oberste Taxa|I||Häufig|(v)|Starker Rückgang|||V|=||||≙|*|-|R|||||||A0|Lh|G+|||
31|31|Aconitum cammarum L.|Garten-Eisenhut|ec24381d-a3ea-4170-b680-3a0e7431ded8|||||S|Taxa|Arten|Oberste Taxa|N|N|Unbekannt|?|Daten ungenügend|||D|=|||||kN|||||||||A0||G+|nb||
32|32|Aconitum lycoctonum L.|Gelber Eisenhut|15a6e88b-6778-43f7-9036-0bb79e67f1c0||Aconitum vulparia|≙Aconitum vulparia||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||≙|*|=||||||||A0|Lh|G+|||
33|33|Aconitum napellus agg.|Blauer Eisenhut (Artengruppe)|c4116806-537e-4578-af7a-92d926c48c74||Aconitum napellus subsp. neomontanum#Aconitum napellus subsp. hians|>Aconitum napellus subsp. neomontanum#>Aconitum napellus subsp. hians||A|||Oberste Taxa|I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||>|nb||||||||||||nb||
34|34|Aconitum napellus L.|Blauer Eisenhut|f672257e-7ef0-4ead-b6dc-a0bfeacb977e|c4116806-537e-4578-af7a-92d926c48c74|Aconitum napellus subsp. neomontanum|≙Aconitum napellus subsp. neomontanum||T||Arten||I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||≙|*|=||||||||A0|Lh|G+|||
35|35|Aconitum napellus subsp. lusitanicum Rouy|Blauer Eisenhut|1d27a6cb-0a80-4318-850e-67e3723d766d|f672257e-7ef0-4ead-b6dc-a0bfeacb977e|Aconitum napellus subsp. neomontanum|≙Aconitum napellus subsp. neomontanum||F|Taxa|||I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||≙|*|=|||||||||||nb||
36|36|Aconitum plicatum Rchb.|Sudeten-Eisenhut|443b906e-3137-452f-9f8a-a8ae2e0575c9|c4116806-537e-4578-af7a-92d926c48c74|Aconitum napellus subsp. hians|≙Aconitum napellus subsp. hians||K|Taxa|Arten||I||Extrem selten|=|Gleich bleibend|||R|=||||≙|R|=||||||||A0|Lr|G+|||
37|37|Aconitum tauricum Wulfen|Tauern-Eisenhut|95004488-92d7-4a80-ac9c-9851fdaac305|c4116806-537e-4578-af7a-92d926c48c74|Aconitum napellus subsp. tauricum|≙Aconitum napellus subsp. tauricum||T||Arten||I||Extrem selten|=|Gleich bleibend|||R|=||||≙|R|=||||||||A0|Lr|G+|||
38|38|Aconitum tauricum subsp. tauricum|Tauern-Eisenhut|324acdcb-3e04-4951-9314-6cd5f48608b9|95004488-92d7-4a80-ac9c-9851fdaac305|Aconitum napellus subsp. tauricum|≙Aconitum napellus subsp. tauricum||F|Taxa|||I||Extrem selten|=|Gleich bleibend|||R|=||||≙|R|=||||||||A0|Lr|G+|||
39|39|Aconitum variegatum agg.|Bunter Eisenhut (Artengruppe)|881e283f-b75d-4c85-b8c6-00400656abd2||Aconitum paniculatum|>Aconitum variegatum#>Aconitum paniculatum||A|||Oberste Taxa|I||Selten|=|Gleich bleibend|||*|=||||>|nb||||||||||||nb||
40|40|Aconitum degenii Gáyer|Rispen-Eisenhut|9e43f652-a2c3-4eab-8868-05840600bd6d|881e283f-b75d-4c85-b8c6-00400656abd2|Aconitum paniculatum|≙Aconitum paniculatum||K|Taxa|Arten||I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||In Korneck et al. (1996) aus heutiger Sicht irrtümlich als Aconitum paniculatum bezeichnet.||||A0|Lr|G+|||
41|41|Aconitum pilipes (Rchb.) Gáyer|Behaarter Eisenhut|72fb0e77-ea24-4dbf-81bd-21ebfdc53dd5|881e283f-b75d-4c85-b8c6-00400656abd2|Aconitum variegatum|<Aconitum variegatum||K|Taxa|Arten||I||Sehr selten|=|Gleich bleibend|||*|=||||<|nb|||||||||A0|Lr|G+|||
42|42|Aconitum variegatum L.|Bunter Eisenhut|44df8194-c24f-43ab-8e98-057d0c818e4a|881e283f-b75d-4c85-b8c6-00400656abd2||<Aconitum variegatum||K|Taxa|Arten||I||Selten|(v)|Gleich bleibend|||V|=||||<|*|-|R|T||||||A0|Lh|G+|||
43|43|Aconogonon polystachyum (Meisn.) Small|Himalaja-Bergknöterich|d9612456-65d6-4796-be21-39823b8e85ed|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
44|44|Acorus calamus L.|Kalmus|73b119d5-d75e-4294-8df0-95bb318b4aff|||≙Acorus calamus L.||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb|||||≙|*||||||||||||nb||
45|45|Acroptilon repens (L.) DC.|Kriechende Federblume|2455ba18-ac57-4b77-ac57-dd5c060db91a|||≙Acroptilon repens (L.) DC.||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb|||||≙|*||||||||||||nb||
46|46|Actaea spicata L.|Christophskraut|ab28fcf0-1238-4be4-807a-ceacde52d002|||≙Actaea spicata L.||S|Taxa|Arten|Oberste Taxa|I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
47|47|Adenophora liliifolia (L.) A. DC.|Wohlriechende Schellenblume|76cd9dff-32f3-40f8-857f-ed212c8d4016|||≙Adenophora liliifolia (L.) A. DC.||S|Taxa|Arten|Oberste Taxa|I||Extrem selten|(v)|Mäßiger Rückgang|||1|=||||≙|1|=||||||||A0|Li|G+|(!)||Die Vorkommen an der unteren Isar sind von den nächsten Vorkommen in Niederösterreich und in der Steiermark ökologisch-geographisch stark isoliert. Die Alpen und die Böhmischen Mittelgebirge wirken als Barrieren zu den osteuropäischen bzw. südalpischen Populationen.
48|48|Adenostyles alliariae (Gouan) A. Kern.|Grauer Alpendost|571c4ad7-d120-42c8-9ca3-97628e72fdc2|||≙Adenostyles alliariae (Gouan) A. Kern.||S|Taxa|Arten|Oberste Taxa|I||Selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lr|G+|||
49|49|Adenostyles alpina (L.) Bluff & Fingerh.|Kahler Alpendost|4efd228c-eb29-452b-8a2d-83d9347b4cf8||Adenostyles glabra|≙Adenostyles glabra||M||Arten|Oberste Taxa|I||Selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
50|50|Adenostyles alpina subsp. alpina|Kahler Alpendost|3f6206e8-3798-48c3-8274-245ff2fcec32|4efd228c-eb29-452b-8a2d-83d9347b4cf8|Adenostyles glabra|≙Adenostyles glabra||I|Taxa|||I||Selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
51|51|Adonis aestivalis L.|Sommer-Adonisröschen|fac1fc97-0612-43b6-865d-ad805ff94252|||≙Adonis aestivalis L.||M||Arten|Oberste Taxa|I||Selten|vv|Starker Rückgang|||2|=||||≙|3|-|R|||||||A0|Lr|G+|||
52|52|Adonis aestivalis subsp. aestivalis|Sommer-Adonisröschen|30f96c06-8ea3-4551-9f6a-5dcae7e041c9|fac1fc97-0612-43b6-865d-ad805ff94252|Adonis aestivalis|<Adonis aestivalis||I|Taxa|||I||Selten|vv|Starker Rückgang|||2|=||||<|3|-|R|T||||||A0|Lr|G+|||
53|53|Adonis aestivalis subsp. provincialis C.H. Steinb.|Südliches Sommer-Adonisröschen|b08b4b8a-29d1-4d12-93bc-2614cc841de9|fac1fc97-0612-43b6-865d-ad805ff94252|Adonis aestivalis|<Adonis aestivalis||I|Taxa|||N|N|Nicht bewertet|||||nb|||||<|nb||||||||||||nb||
54|54|Adonis flammea Jacq.|Flammen-Adonisröschen|c77cb6b8-5870-4dd5-9070-2ce3dc7e2ee2|||≙Adonis flammea Jacq.||M||Arten|Oberste Taxa|I||Sehr selten|vv|Sehr starker Rückgang|||1|=||||≙|1|=||||||||A0|Lh|G3|!||Da bis auf eine alle französischen Regionallisten Gefährdung nach starkem Rückgang konstatieren, ist der gesamte Arealnordteil und damit ca. 2/3 des Gesamtareals vom Rückgang betroffen. Da nach neuerer Datenlage auch die südlicheren Arealbereiche stärkere Disjunktionen aufweisen, ist Deutschland als Teil des Hauptareals anzusehen.
55|55|Adonis flammea subsp. flammea|Flammen-Adonisröschen|3eb1384d-5e6a-41e9-9f8d-99bbeabe77d2|c77cb6b8-5870-4dd5-9070-2ce3dc7e2ee2|Adonis flammea|≙Adonis flammea||I|Taxa|||I||Sehr selten|vv|Sehr starker Rückgang|||1|=||||≙|1|=||||||||A0|Lh|G3|!||
56|56|Adonis vernalis L.|Frühlings-Adonisröschen|26c0a6a9-45e2-4b7e-80da-912e98463304|||≙Adonis vernalis L.||S|Taxa|Arten|Oberste Taxa|I||Selten|(v)|Mäßiger Rückgang|||3|=||||≙|3|=||||||||A0|Lr|G?|?||
57|57|Adoxa moschatellina L.|Moschuskraut|bd8ebea8-c56f-4141-831d-b293490b3a95|||≙Adoxa moschatellina L.||S|Taxa|Arten|Oberste Taxa|I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
58|58|Aegopodium podagraria L.|Gewöhnlicher Giersch|1879bf28-3142-4180-8a70-182f4ea20bf2|||≙Aegopodium podagraria L.||S|Taxa|Arten|Oberste Taxa|I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
59|59|Aethionema saxatile (L.) R. Br.|Steintäschel|fd355f82-129b-4ee8-af5e-2560278dfc44|||≙Aethionema saxatile (L.) R. Br.||M||Arten|Oberste Taxa|I||Extrem selten|(v)|Mäßiger Rückgang|||1|=||||≙|*|-|R|||||||A0|Lr|G+|||
60|60|Aethionema saxatile subsp. saxatile|Steintäschel|b571ff81-1bb6-4dba-bd30-9d35dc384e83|fd355f82-129b-4ee8-af5e-2560278dfc44|Aethionema saxatile|≙Aethionema saxatile||I|Taxa|||I||Extrem selten|(v)|Mäßiger Rückgang|||1|=||||≙|*|-|R|||||||A0|Lr|G+|||
61|61|Aethusa cynapium L.|Hundspetersilie|09d53594-dc23-455e-b66d-1dd9757f6126|||≙Aethusa cynapium L.||M||Arten|Oberste Taxa|I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
62|62|Aethusa cynapium subsp. cynapium|Hundspetersilie|b2366905-ebf6-41d7-9a09-3d04732f2887|09d53594-dc23-455e-b66d-1dd9757f6126|Aethusa cynapium|<Aethusa cynapium||I|Taxa|||I||Häufig|=|Gleich bleibend|||*|=||||<|*|=||||||||A0|Lh|G+|||
63|63|Aethusa cynapium subsp. elata (Hoffm.) Schübl. & G. Martens|Hohe Hundspetersilie|041d8c43-2426-4abd-8623-886ac1bf11ee|09d53594-dc23-455e-b66d-1dd9757f6126|Aethusa cynapium|<Aethusa cynapium||I|Taxa|||I||Mäßig häufig|=|Gleich bleibend|||*|=||||<|nb|||||||||A0|Lh|G+|||
64|64|Agrimonia eupatoria L.|Kleiner Odermennig|8db43d06-ef51-46c5-9a02-7b427d219729|||≙Agrimonia eupatoria L.||M||Arten|Oberste Taxa|I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
65|65|Agrimonia eupatoria subsp. eupatoria|Kleiner Odermennig|2cb3bfbe-5a38-4b3a-8b0f-832c353ed5df|8db43d06-ef51-46c5-9a02-7b427d219729|Agrimonia eupatoria|≙Agrimonia eupatoria||I|Taxa|||I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=|||||||In nicht regionalisierten Ansaatmischungen enthalten.|A0|Lh|G+|||
66|66|Agrimonia procera Wallr.|Großer Odermennig|b8da1642-c81c-42ea-8b71-453d55bc75a7|||≙Agrimonia procera Wallr.||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A1|Lh|G+|||
67|67|Agrostemma githago L.|Korn-Rade|66b6c551-360e-425d-9690-36c2cafafa23|||≙Agrostemma githago L.||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|(v)|Sehr starker Rückgang|S||2|=||||≙|1|+|R(Na)||||Einheimische Populationen der Art sind regional durch Artenschutzprogramme (Feldflorareservate, Vertragsäcker etc.) gesichert. ||Die Kornrade wird auch durch Ansaatmischungen ausgebracht; diese Bestände wurden – soweit erkennbar – für die Bewertung nicht berücksichtigt.|A0|Lh|G+|||
68|68|Agrostis alpina agg.|Alpen-Straußgras (Artengruppe)|2586966c-46fd-46c6-9700-fd617a3d7f31|||≙Agrostis alpina agg.||A|||Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|nb||||||||||||nb||
69|69|Agrostis alpina Scop.|Alpen-Straußgras|c9eabb0b-f2c3-46e5-8dfc-af6fb055b15f|2586966c-46fd-46c6-9700-fd617a3d7f31||≙Agrostis alpina Scop.||K|Taxa|Arten||I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=|||||||||||nb||
70|70|Agrostis schleicheri Jord. & Verl.|Schleichers Straußgras|aaf1ddff-816b-4c75-83bb-17769dba0ad4|2586966c-46fd-46c6-9700-fd617a3d7f31||≙Agrostis schleicheri Jord. & Verl.||K|Taxa|Arten||I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
71|71|Agrostis canina agg.|Hunds-Straußgras (Artengruppe)|ce28ce6b-fd09-4c57-8a92-5c48a3a0f337|||≙Agrostis canina agg.||A|||Oberste Taxa|I||Mäßig häufig|(v)|Mäßiger Rückgang|||V|=||||≙|nb||||||||||||nb||
72|72|Agrostis canina L.|Hunds-Straußgras|0a338c5b-7597-4659-93a6-bbf2652b7807|ce28ce6b-fd09-4c57-8a92-5c48a3a0f337||≙Agrostis canina L.||K|Taxa|Arten||I||Häufig|(v)|Mäßiger Rückgang|||*|=||||≙|*|=||||||||A0|Lh|G+|||
73|73|Agrostis vinealis Schreb.|Schmalrispiges Straußgras|6a714e14-69a9-4098-9de0-89391adf7deb|ce28ce6b-fd09-4c57-8a92-5c48a3a0f337||≙Agrostis vinealis Schreb.||K|Taxa|Arten||I||Mäßig häufig|(v)|Mäßiger Rückgang|||V|=||||≙|*|-|R|||||||A0|Lh|G+|||
74|74|Agrostis capillaris L.|Rotes Straußgras|2df7d4e1-d326-4599-a9dd-7391b177c0f4|||≙Agrostis capillaris L.||S|Taxa|Arten|Oberste Taxa|I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
75|75|Agrostis castellana Boiss. & Reut.|Kastilisches Straußgras|3e9a1e95-a5f3-47ac-a109-81371ab24402|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
76|76|Agrostis rupestris All.|Felsen-Straußgras|2396b3b1-0dcb-4170-aa81-8df3400408dd|||≙Agrostis rupestris All.||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||Nördlicher Arealrand.
77|77|Agrostis scabra Willd.|Raues Straußgras|22d89776-a974-4d52-832e-b4b218cc385f|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
78|78|Agrostis schraderiana Bech.|Schilf-Straußgras|83ed6bf6-3490-41ae-9efe-c7727860893f||Agrostis agrostiflora|≙Agrostis agrostiflora||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lr|G+|||
79|79|Agrostis stolonifera agg.|Riesen-Straußgras (Artengruppe)|49bc5aa3-b003-4b2c-8c04-43330bdfd96c|||≙Agrostis stolonifera agg.||A|||Oberste Taxa|I||Sehr häufig|=|Gleich bleibend|||*|=||||≙|nb||||||||||||nb||
80|80|Agrostis gigantea Roth|Riesen-Straußgras|1b184530-c311-4db0-99a5-45de9ee086fd|49bc5aa3-b003-4b2c-8c04-43330bdfd96c||≙Agrostis gigantea Roth||T||Arten||I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
81|81|Agrostis gigantea subsp. gigantea|Riesen-Straußgras|51d0fa79-b9f9-4e4a-943c-f2f569edec76|1b184530-c311-4db0-99a5-45de9ee086fd|Agrostis gigantea|≙Agrostis gigantea||F|Taxa|||I||Häufig|=|Gleich bleibend|||*|=||||≙|*|=||||||||A0|Lh|G+|||
82|82|Agrostis stolonifera L.|Weißes Straußgras|95f0b954-f23b-44c9-9281-ed569e66d60b|49bc5aa3-b003-4b2c-8c04-43330bdfd96c|Agrostis stolonifera subsp. prorepens#Agrostis stolonifera subsp. stolonifera#Agrostis stolonifera subsp. maritima|>Agrostis stolonifera subsp. prorepens#>Agrostis stolonifera subsp. stolonifera#>Agrostis stolonifera subsp. maritima||T||Arten||I||Sehr häufig|=|Gleich bleibend|||*|=||||>|*|=||||||||A0|Lh|G+|||
83|83|Agrostis stolonifera subsp. maritima (Lam.) Vasc.|Salzliebendes Weißes Straußgras|0cd55a9e-541d-48a4-abd6-a12990bd68a6|95f0b954-f23b-44c9-9281-ed569e66d60b||≙Agrostis stolonifera subsp. maritima (Lam.) Vasc.||F|Taxa|||I||Selten|=|Gleich bleibend|||*|=||||≙|*|=|||||||||||nb||
84|84|Agrostis stolonifera subsp. stolonifera|Weißes Straußgras|66a741c2-3c00-4685-9c66-cb813dce884e|95f0b954-f23b-44c9-9281-ed569e66d60b|Agrostis stolonifera subsp. prorepens|>Agrostis stolonifera subsp. prorepens#>Agrostis stolonifera subsp. stolonifera||F|Taxa|||I||Sehr häufig|=|Gleich bleibend|||*|=||||>|*|=||||||||A0|Lh|G+|||
