|Unnamed: 0|Name|Deutscher Name|UUID des Taxons|UUID des direkt übergeordneten Taxons|Synonyme|Konzeptbeziehungen|Jahrzehnt|Auswertung|Taxa|Arten|Oberste Taxa|Status|Neobiota|Aktuelle Bestandssituation|kurzfristiger Bestandstrend|Langfristiger Bestandstrend|Sonderfälle|Letzter Nachweis|RL Kat.|Risikofaktoren|Risikofaktoren (Kürzel 1)|Risikofaktoren (Kürzel 2)|Risikofaktoren (Kürzel 3)|Taxonomischer Bezug|alte RL- Kat.|Kat. +/-|Grund der Kategorieänderung 1|Grund der Kategorieänderung 2|Grund der Kategorieänderung 3|Kommentar zur Taxonomie|Kommentar zur Gefährdung|Kommentar zur Nachsuche|Weitere Kommentare|Anteil|Lage|Gefährdung|Verantwortlichkeit|Endemit|Kommentar zur Verantwortlichkeit
4862|4862|Taraxacum violaceifrons Trávn.||2e8a27d6-1cb9-45c5-a12f-278e0038992e|71476d6b-5081-462c-bcfc-855070a7932d|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Extrem selten|?|Daten ungenügend|||R|=||||<|nb||||||||Nur Einzelnachweis.||||nb||
4863|4863|Taraxacum violaceinervosum Rail.||9faed8e7-d29f-4232-abe5-402b843fd042|71476d6b-5081-462c-bcfc-855070a7932d|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Sehr selten|?|Daten ungenügend|||D|=||||<|nb|||||||||A0|Lh|G+|||
4864|4864|Taraxacum violaceipetiolatum Rail.|Violettstieliger Löwenzahn|7a837cab-0dbf-40f7-8264-f7f4be471c76|71476d6b-5081-462c-bcfc-855070a7932d|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Unbekannt|?|Daten ungenügend|||D|=||||<|nb||||||||Nur Einzelnachweis.|A0|L?|G+|?||
4865|4865|Taraxacum virellum Sahlin||4f6253ee-1c90-48c1-9237-ae7221ba66a9|71476d6b-5081-462c-bcfc-855070a7932d|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Unbekannt|?|Daten ungenügend|||D|=||||<|nb||||||||Nur Einzelnachweis.|A0|L?|G+|?||
4866|4866|Taraxacum wiinstedtii H. Øllg.||42d0b5dc-4398-4987-a749-34bffe5b58d4|71476d6b-5081-462c-bcfc-855070a7932d|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Sehr selten|?|Daten ungenügend|||D|=||||<|nb|||||||||A0|Lr|G+|||
4867|4867|Taraxacum xanthostigma H. Lindb.|Gelbgriffliger Löwenzahn|b72064ee-413e-46a4-aa49-11a938fea4c8|71476d6b-5081-462c-bcfc-855070a7932d|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Sehr selten|?|Daten ungenügend|||D|=||||<|nb|||||||||A0|Lr|G+|||
4868|4868|Taraxacum zelotes Sahlin||d399fef1-8311-498c-a288-5e8c73eb3619|71476d6b-5081-462c-bcfc-855070a7932d|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Unbekannt|?|Daten ungenügend|||D|=||||<|nb||||||||Nur vom locus typi bekannt.|A?|L?|G?|?||
4869|4869|Taraxacum subalpinum-Gruppe|Kleinköpfiger Löwenzahn (Gruppe)|0b952e17-8154-4c56-84ac-56750a18fadd||Taraxacum officinale agg.|<Taraxacum officinale agg.||A|||Oberste Taxa|I||Mäßig häufig|=|Gleich bleibend|||*|=||||<|nb||||||||||||nb||
4870|4870|Taraxacum copidophyllum Dahlst.|Großlappiger Löwenzahn|2ee7050f-c415-41df-aa3b-d74a471a1a09|0b952e17-8154-4c56-84ac-56750a18fadd|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Mäßig häufig|=|Gleich bleibend|||*|=||||<|nb||||||In Süddeutschland selten und gefährdet, in Norddeutschland weit verbreitet und ungefährdet.|||A1|Lr-h|G+|||
4871|4871|Taraxacum fascinans Kirschner et al.||d111e53d-5bb5-4101-92c5-611589cbbc8c|0b952e17-8154-4c56-84ac-56750a18fadd|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Sehr selten|?|Daten ungenügend|||D|=||||<|nb|||||||||A1|Lr-h|G+|||
4872|4872|Taraxacum porrigentilobatum Rail.||8340a412-b84e-456f-aa07-d81e2d0db2e7|0b952e17-8154-4c56-84ac-56750a18fadd|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Selten|=|Gleich bleibend|||*|=||||<|nb|||||||||A3|Lh|G+|!||
4873|4873|Taraxacum subalpinum Hudziok|Kleinköpfiger Löwenzahn|1a4bf7f8-cb6e-4d3f-b739-6e82d34d0c46|0b952e17-8154-4c56-84ac-56750a18fadd|Taraxacum officinale agg.|<Taraxacum officinale agg.||K|Taxa|Arten||I||Selten|=|Mäßiger Rückgang|||V|=||||<|nb||||||In Süddeutschland selten und gefährdet, in Norddeutschland weit verbreitet und ungefährdet.|||A7|||!!||
4874|4874|Taxus baccata L.|Gewöhnliche Eibe|6ba6b312-65ee-4c7e-9005-2dc4ff6fe944|||≙Taxus baccata L.||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|(v)|Mäßiger Rückgang|||V|=||||≙|3|+|K||||||Viele Vorkommen sind synanthrop oder stammen aus Anpflanzungen; diese wurden nicht bewertet.|A1|Lh|G+|||
4875|4875|Teesdalia nudicaulis (L.) R. Br.|Bauernsenf|245a5d18-1dfc-4b39-a738-10b3b68e72d8|||≙Teesdalia nudicaulis (L.) R. Br.||S|Taxa|Arten|Oberste Taxa|I||Häufig|(v)|Mäßiger Rückgang|||*|=||||≙|*|=|||||Rückgänge vor allem außerhalb des Tieflandes.|||A1|Lh|G+|||
4876|4876|Telekia speciosa (Schreb.) Baumg.|Gewöhnliche Telekie|b59ed7c5-cc77-4d81-89f4-61919d50a0b0|||≙Telekia speciosa (Schreb.) Baumg.||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb|||||≙|*||||||||Die Art wird als potenziell invasiv eingestuft (Nehring et al. 2013).||||nb||
4877|4877|Tellima grandiflora (Pursh) Lindl.|Großblütige Fransenblume|a814e373-6f28-417d-8954-9b27d909c9d0|||||S|Taxa|Arten|Oberste Taxa|N|N|Nicht bewertet|||||nb||||||kN||||||||||||nb||
4878|4878|Tephroseris crispa (Jacq.) Rchb.|Krauses Aschenkraut|1d0b16ff-f0cc-44f6-8854-629bfbcb7f3c|||≙Tephroseris crispa (Jacq.) Rchb.||S|Taxa|Arten|Oberste Taxa|I||Sehr selten|=|Mäßiger Rückgang|||3|=||||≙|*|-|K|||||||A0|Lr|G+|||
4879|4879|Tephroseris helenitis (L.) B. Nord.|Spatelblättriges Aschenkraut|1e73908b-9b70-4f6c-a20a-22cc07cbcb18||Tephroseris helenitis subsp. helenitis#Tephroseris helenitis subsp. salisburgensis|>Tephroseris helenitis subsp. helenitis#>Tephroseris helenitis subsp. salisburgensis||M||Arten|Oberste Taxa|I||Selten|(v)|Starker Rückgang|||2|=||||>|3|-|K|R||Die Abgrenzung der beiden Unterarten ist z. T. schwierig, da es Übergangspopulationen gibt.||||A1|Lr-h|G+|||
4880|4880|Tephroseris helenitis subsp. helenitis|Spatelblättriges Aschenkraut|d1555743-75c2-47b5-87a8-c11bfd545ec5|1e73908b-9b70-4f6c-a20a-22cc07cbcb18||≙Tephroseris helenitis subsp. helenitis||I|Taxa|||I||Selten|(v)|Starker Rückgang|||2|=||||≙|3|-|K|R||||||A3|Lz|G?|!!||
4881|4881|Tephroseris helenitis subsp. salisburgensis (Cufod.) B. Nord.|Salzburger Aschenkraut|7fbaa9a8-2bfd-4187-a8c0-c4f6f7dd0043|1e73908b-9b70-4f6c-a20a-22cc07cbcb18||≙Tephroseris helenitis subsp. salisburgensis (Cufod.) B. Nord.||I|Taxa|||I||Extrem selten|(v)|Starker Rückgang|S||2|=||||≙|3|-|K|R||||||A1|Lh|G+|||
4882|4882|Tephroseris integrifolia (L.) Holub|Steppen-Aschenkraut|620f0b11-5971-4fd5-8395-fa0d5f5d22a8||Tephroseris integrifolia subsp. integrifolia#Tephroseris integrifolia subsp. vindelicorum|>Tephroseris integrifolia subsp. integrifolia#>Tephroseris integrifolia subsp. vindelicorum||M||Arten|Oberste Taxa|I||Extrem selten|(v)|Starker Rückgang|S||2|=||||>|2|=||||||||A0|Lr|G+|||
